Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1964,20.71,14.07,7.48,158.83,1.57,16.56,33.11,7.6,46.87,0.06,Buxoro,,,,
1965,22.22,15.53,8.89,98.51,0.51,10.63,19.32,2.72,44.84,0.07,Buxoro,,,,
1966,22.65,15.9,9.18,99.21,-0.35,10.2,17.65,0.15,42.94,0.11,Buxoro,,,,
1967,21.8,15.2,8.65,166.52,0.39,15.42,24.22,4.47,46.78,0.07,Buxoro,,,,
1968,21.8,15.25,8.75,126.6,0.05,10.62,20.36,0.0,45.85,0.08,Buxoro,,,,
1969,19.91,13.68,7.48,232.01,2.18,20.14,32.43,5.8,52.6,0.06,Buxoro,,,,
1970,22.44,15.61,8.82,121.11,0.08,9.07,19.11,0.11,45.61,0.07,Buxoro,,,,
1971,22.88,15.96,9.08,90.6,-0.79,10.25,17.56,1.1,43.64,0.07,Buxoro,,,,
1972,19.65,13.21,6.8,135.29,0.29,12.84,20.34,4.59,47.28,0.02,Buxoro,,,,
1973,22.09,15.36,8.66,154.8,0.44,12.96,18.86,0.88,46.83,0.11,Buxoro,,,,
1974,20.91,14.38,7.88,132.84,0.17,12.03,19.35,0.13,44.59,0.08,Buxoro,,,,
1975,22.09,15.33,8.59,100.59,-0.63,10.29,15.84,0.07,42.57,0.14,Buxoro,,,,
1976,21.15,14.74,8.37,150.16,-0.14,11.34,19.34,2.63,47.82,0.11,Buxoro,,,,
1977,22.08,15.65,9.25,128.14,-0.06,8.99,14.06,0.0,47.95,0.12,Buxoro,,,,
1978,21.79,15.33,8.92,192.3,1.46,19.99,33.52,10.04,50.15,0.09,Buxoro,,,,
1979,22.26,15.68,9.13,145.18,1.11,11.24,26.8,0.23,47.83,0.12,Buxoro,,,,
1980,22.09,15.6,9.15,164.79,0.43,17.82,21.06,7.1,48.61,0.1,Buxoro,,,,
1981,22.3,15.98,9.7,187.77,1.07,16.66,30.9,5.22,49.73,0.06,Buxoro,,,,
1982,21.13,14.81,8.51,163.98,0.77,18.55,28.61,9.26,50.29,0.04,Buxoro,,,,
1983,22.93,16.23,9.56,121.41,-0.33,9.73,14.33,0.0,45.38,0.15,Buxoro,,,,
1984,20.91,14.55,8.22,134.37,0.22,15.63,32.79,2.68,46.1,0.17,Buxoro,,,,
1985,21.99,15.37,8.79,124.01,0.24,14.69,22.75,5.98,46.53,0.11,Buxoro,,,,
1986,22.18,15.6,9.05,116.31,-0.72,10.59,19.67,0.0,45.78,0.07,Buxoro,,,,
1987,22.18,15.66,9.19,157.05,0.46,15.8,24.28,2.03,46.9,0.08,Buxoro,,,,
1988,22.72,16.17,9.66,180.83,0.81,18.92,27.06,12.52,48.33,0.09,Buxoro,,,,
1989,22.07,15.36,8.69,115.7,0.11,15.34,25.67,5.95,46.29,0.07,Buxoro,,,,
1990,22.42,15.92,9.44,126.7,-0.19,6.73,13.49,0.0,47.81,0.1,Buxoro,,,,
1991,21.76,15.5,9.28,156.41,0.13,16.7,23.55,5.58,49.25,0.06,Buxoro,,,,
1992,21.38,15.22,9.1,175.03,1.03,12.87,19.65,2.02,50.38,0.04,Buxoro,,,,
