Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1971,22.35,15.56,8.82,373.4,-1.2,27.57,45.17,22.65,53.78,0.1,Toshkent_shahar,,,,
1972,19.03,12.92,6.85,558.9,0.05,26.89,50.07,7.68,61.28,0.01,Toshkent_shahar,,,,
1973,21.49,14.98,8.51,431.6,0.28,20.8,45.33,19.02,58.43,0.08,Toshkent_shahar,,,,
1974,20.28,14.08,7.9,373.7,-0.65,24.08,46.63,9.54,57.64,0.08,Toshkent_shahar,,,,
1975,21.4,14.95,8.54,392.1,-1.52,21.51,46.28,10.85,53.78,0.12,Toshkent_shahar,,,,
1976,20.59,14.52,8.48,546.1,-0.71,31.03,55.0,28.09,61.22,0.09,Toshkent_shahar,,,,
1977,21.53,15.36,9.22,583.2,-0.7,28.56,83.13,23.88,61.15,0.07,Toshkent_shahar,,,,
1978,21.23,15.07,8.95,592.8,0.44,31.65,59.23,22.66,62.17,0.06,Toshkent_shahar,,,,
1979,21.51,15.32,9.18,582.4,1.04,45.06,54.84,30.98,61.75,0.08,Toshkent_shahar,,,,
1980,21.67,15.44,9.26,475.3,-0.14,31.46,46.54,27.34,60.81,0.09,Toshkent_shahar,,,,
1981,21.6,15.55,9.55,507.3,0.46,29.01,69.87,25.44,64.12,0.03,Toshkent_shahar,,,,
1982,20.75,14.67,8.62,500.2,-0.29,27.44,38.03,14.34,60.79,0.06,Toshkent_shahar,,,,
1983,22.23,15.81,9.41,382.4,-0.9,19.14,37.28,9.35,57.2,0.13,Toshkent_shahar,,,,
1984,20.34,14.22,8.12,504.3,-0.73,35.64,48.68,11.34,59.73,0.11,Toshkent_shahar,,,,
1985,21.33,15.02,8.78,469.1,0.09,32.27,52.29,18.42,60.86,0.05,Toshkent_shahar,,,,
1986,21.59,15.33,9.09,399.9,-1.1,27.48,50.12,20.82,58.93,0.09,Toshkent_shahar,,,,
1987,21.3,15.28,9.31,658.5,0.54,40.64,77.98,36.64,64.25,0.06,Toshkent_shahar,,,,
1988,22.2,15.87,9.58,424.4,0.31,20.58,62.75,10.8,61.2,0.08,Toshkent_shahar,,,,
1989,21.35,14.9,8.5,463.7,-0.52,28.97,68.21,21.15,60.07,0.06,Toshkent_shahar,,,,
1990,21.83,15.59,9.41,542.3,0.35,38.95,70.56,27.35,61.83,0.1,Toshkent_shahar,,,,
1991,21.23,15.13,9.09,561.3,0.04,24.82,80.37,24.03,63.22,0.03,Toshkent_shahar,,,,
1992,20.91,14.97,9.08,516.3,0.89,32.71,82.53,28.25,64.47,0.02,Toshkent_shahar,,,,
1993,20.12,14.26,8.47,815.2,1.16,29.16,88.47,23.42,66.44,0.03,Toshkent_shahar,,,,
1994,21.15,14.93,8.75,608.8,0.94,31.93,45.06,30.13,61.99,0.06,Toshkent_shahar,,,,
1995,22.57,15.94,9.35,285.0,-0.48,20.28,34.21,15.28,58.93,0.09,Toshkent_shahar,,,,
1996,21.04,14.7,8.39,415.3,-0.62,22.02,49.36,12.26,59.13,0.11,Toshkent_shahar,,,,
1997,22.27,15.88,9.54,513.4,0.16,32.37,71.21,29.78,63.15,0.1,Toshkent_shahar,,,,
1998,21.58,15.53,9.48,749.6,1.23,37.4,62.24,25.26,65.0,0.07,Toshkent_shahar,,,,
1999,22.27,16.1,9.96,627.0,0.63,41.6,64.98,27.01,61.42,0.05,Toshkent_shahar,,,,
2000,22.32,16.04,9.8,412.7,-0.8,20.79,32.08,4.79,57.39,0.13,Toshkent_shahar,,,,
2001,22.63,16.24,9.9,451.4,-0.99,22.66,40.37,14.93,57.76,0.09,Toshkent_shahar,,,,
2002,22.39,16.09,9.83,690.9,0.99,49.78,68.72,25.32,63.55,0.06,Toshkent_shahar,,,,
2003,21.36,15.49,9.69,741.5,1.45,33.39,86.03,46.23,65.19,0.05,Toshkent_shahar,,,,
2004,22.69,16.57,10.53,632.4,0.65,26.37,69.55,19.96,62.07,0.07,Toshkent_shahar,,,,
2005,22.33,16.15,10.0,478.3,0.48,31.36,57.21,30.72,60.79,0.11,Toshkent_shahar,,,,
2006,22.35,16.12,9.95,526.1,-0.68,19.77,52.51,13.85,61.75,0.08,Toshkent_shahar,,,,
2007,22.49,16.16,9.86,509.0,-0.26,31.01,52.2,16.65,60.27,0.08,Toshkent_shahar,,,,
2008,21.85,15.61,9.4,450.8,-1.37,31.61,55.79,16.14,60.02,0.16,Toshkent_shahar,,,,
2009,22.11,16.04,10.01,579.1,0.55,43.65,63.55,29.38,63.33,0.04,Toshkent_shahar,,,,
2010,22.95,16.67,10.47,507.0,0.86,25.72,53.65,18.59,62.35,0.07,Toshkent_shahar,,,,
2011,21.77,15.7,9.67,546.1,-1.24,22.08,58.2,11.58,59.8,0.12,Toshkent_shahar,,,,
2012,21.57,15.35,9.17,460.0,-0.07,23.92,43.37,12.4,59.6,0.09,Toshkent_shahar,,,,
2013,22.82,16.57,10.36,539.6,-0.67,28.17,34.65,5.74,57.16,0.12,Toshkent_shahar,,,,
2014,21.82,15.29,8.8,537.7,-0.52,26.49,71.62,12.1,57.92,0.12,Toshkent_shahar,,,,
2015,22.61,16.53,10.5,603.7,-0.41,29.26,49.24,17.48,59.53,0.17,Toshkent_shahar,,,,
2016,23.21,16.92,10.68,600.2,-0.27,22.56,71.27,17.85,59.09,0.14,Toshkent_shahar,,,,
2017,22.57,16.14,9.73,474.6,0.5,30.48,69.66,26.54,57.53,0.12,Toshkent_shahar,,,,
2018,22.58,16.2,9.87,488.0,-1.32,29.5,40.85,16.03,54.28,0.21,Toshkent_shahar,,,,
2019,23.05,16.85,10.7,519.6,-0.07,26.12,67.6,25.07,58.08,0.16,Toshkent_shahar,,,,
2020,22.02,15.8,9.65,443.2,-0.17,34.34,63.84,24.32,57.95,0.04,Toshkent_shahar,,,,
2021,23.47,16.91,10.39,389.5,-1.54,25.07,50.71,6.21,52.71,0.23,Toshkent_shahar,,,,
2022,22.9,17.14,11.41,659.8,-0.42,30.67,92.35,27.28,59.5,0.13,Toshkent_shahar,,,,
2023,24.0,17.7,11.43,378.9,-0.42,29.48,48.31,19.39,57.53,0.15,Toshkent_shahar,,,,
2024,22.78,16.84,10.93,581.5,0.04,26.29,54.02,25.91,63.0,0.07,Toshkent_shahar,,,,
1901,16.27,9.6,2.97,,,,,,,,Toshkent_viloyat,,,,
1902,16.97,10.36,3.78,,,,,,,,Toshkent_viloyat,,,,
1903,15.27,8.78,2.32,,,,,,,,Toshkent_viloyat,,,,
1904,16.18,9.35,2.56,,,,,,,,Toshkent_viloyat,,,,
1905,15.53,9.06,2.61,,,,,,,,Toshkent_viloyat,,,,
1906,16.27,9.75,3.26,,,,,,,,Toshkent_viloyat,,,,
1907,15.27,8.9,2.57,,,,,,,,Toshkent_viloyat,,,,
1908,16.36,9.61,2.9,,,,,,,,Toshkent_viloyat,,,,
1909,17.51,10.43,3.39,,,,,,,,Toshkent_viloyat,,,,
1910,16.3,9.77,3.25,,,,,,,,Toshkent_viloyat,,,,
1911,15.75,9.1,2.47,,,,,,,,Toshkent_viloyat,,,,
1912,17.02,9.99,3.0,,,,,,,,Toshkent_viloyat,,,,
1913,16.59,10.04,3.52,,,,,,,,Toshkent_viloyat,,,,
1914,17.12,10.79,4.49,,,,,,,,Toshkent_viloyat,,,,
1915,17.89,11.43,5.0,,,,,,,,Toshkent_viloyat,,,,
1916,15.93,9.23,2.56,,,,,,,,Toshkent_viloyat,,,,
1917,17.29,10.6,3.95,,,,,,,,Toshkent_viloyat,,,,
1918,15.83,8.91,2.02,,,,,,,,Toshkent_viloyat,,,,
1919,16.18,9.04,1.92,,,,,,,,Toshkent_viloyat,,,,
1920,13.8,8.03,2.28,,,,,,,,Toshkent_viloyat,,,,
1921,15.22,9.05,2.9,,,,,,,,Toshkent_viloyat,,,,
1922,16.97,10.31,3.68,,,,,,,,Toshkent_viloyat,,,,
1923,15.55,9.01,2.49,,,,,,,,Toshkent_viloyat,,,,
1924,16.05,9.46,2.9,,,,,,,,Toshkent_viloyat,,,,
1925,17.43,10.27,3.14,,,,,,,,Toshkent_viloyat,,,,
1926,16.5,9.97,3.48,,,,,,,,Toshkent_viloyat,,,,
1927,16.36,9.87,3.4,,,,,,,,Toshkent_viloyat,,,,
1928,14.83,8.81,2.82,,,,,,,,Toshkent_viloyat,,,,
1929,14.86,8.5,2.16,,,,,,,,Toshkent_viloyat,,,,
1930,14.87,8.76,2.67,,,,,,,,Toshkent_viloyat,,,,
1931,14.57,8.76,2.97,,,,,,,,Toshkent_viloyat,,,,
1932,15.07,9.04,3.04,,,,,,,,Toshkent_viloyat,,,,
1933,15.66,9.4,3.17,,,,,,,,Toshkent_viloyat,,,,
1934,14.14,8.24,2.37,,,,,,,,Toshkent_viloyat,,,,
1935,15.17,8.94,2.74,,,,,,,,Toshkent_viloyat,,,,
1936,16.28,9.51,2.78,,,,,,,,Toshkent_viloyat,,,,
1937,15.38,8.75,2.15,,,,,,,,Toshkent_viloyat,,,,
1938,16.51,9.87,3.26,,,,,,,,Toshkent_viloyat,,,,
1939,16.88,10.24,3.62,,,,,,,,Toshkent_viloyat,,,,
1940,17.31,10.63,3.99,,,,,,,,Toshkent_viloyat,,,,
1941,17.96,11.17,4.41,,,,,,,,Toshkent_viloyat,,,,
1942,16.34,9.91,3.5,,,,,,,,Toshkent_viloyat,,,,
1943,15.51,9.04,2.6,,,,,,,,Toshkent_viloyat,,,,
1944,17.08,10.37,3.69,,,,,,,,Toshkent_viloyat,,,,
1945,15.6,9.1,2.61,,,,,,,,Toshkent_viloyat,,,,
1946,16.36,9.62,2.9,,,,,,,,Toshkent_viloyat,,,,
1947,17.04,10.3,3.59,,,,,,,,Toshkent_viloyat,,,,
1948,16.35,9.6,2.87,,,,,,,,Toshkent_viloyat,,,,
1949,14.42,8.23,2.07,,,,,,,,Toshkent_viloyat,,,,
1950,15.17,8.46,1.77,,,23.89,68.0,12.72,54.02,0.09,Toshkent_viloyat,502.21,,,
1951,15.38,9.11,2.86,,-0.96,32.29,71.06,20.23,60.35,0.05,Toshkent_viloyat,770.29,,,
1952,15.74,9.46,3.22,,0.71,28.99,69.19,25.84,58.98,0.09,Toshkent_viloyat,780.77,,,
1953,15.75,9.64,3.55,,0.2,29.89,58.8,27.28,60.19,0.09,Toshkent_viloyat,852.81,,,
1954,14.86,8.57,2.3,,1.16,30.31,110.92,24.36,59.33,0.03,Toshkent_viloyat,808.73,,,
1955,17.27,10.49,3.75,,-0.27,35.17,88.04,34.3,54.68,0.13,Toshkent_viloyat,764.62,,,
1956,16.19,9.6,3.02,,0.08,29.52,63.42,23.46,55.31,0.15,Toshkent_viloyat,677.38,,,
1957,14.85,8.52,2.22,,-1.02,30.77,53.72,15.45,58.76,0.05,Toshkent_viloyat,657.46,,,
1958,16.16,9.95,3.76,,0.78,29.03,73.36,22.47,58.06,0.1,Toshkent_viloyat,944.23,,,
1959,15.46,9.31,3.18,,0.58,37.65,87.71,28.22,60.23,0.04,Toshkent_viloyat,792.01,,,
1960,15.37,9.12,2.91,,0.66,33.26,63.4,27.11,60.3,0.06,Toshkent_viloyat,740.04,,,
1961,16.89,10.32,3.79,,-0.89,25.13,45.13,23.2,55.55,0.08,Toshkent_viloyat,595.87,,,
1962,16.26,9.87,3.52,,-0.85,32.42,68.18,21.96,58.02,0.1,Toshkent_viloyat,723.59,,,
1963,17.07,10.64,4.23,,0.32,25.41,60.33,23.38,59.62,0.04,Toshkent_viloyat,821.8,,,
1964,15.07,8.76,2.46,,0.88,27.1,69.81,29.38,59.17,0.03,Toshkent_viloyat,732.0,,,
1965,16.51,10.22,3.95,,-0.54,48.01,87.4,24.52,57.06,0.07,Toshkent_viloyat,721.9,,,
1966,16.72,10.44,4.19,,-0.31,34.77,63.82,26.03,58.52,0.09,Toshkent_viloyat,689.56,,,
1967,15.9,9.85,3.82,,-0.35,34.03,85.99,31.57,60.61,0.07,Toshkent_viloyat,762.91,,,
1968,15.89,9.83,3.8,,0.32,31.17,73.28,28.08,60.75,0.11,Toshkent_viloyat,828.3,,,
1969,14.09,8.33,2.59,,2.3,35.77,96.71,37.26,67.07,0.03,Toshkent_viloyat,1255.43,,,
1970,16.59,10.23,3.89,,0.33,21.37,51.86,12.23,58.48,0.07,Toshkent_viloyat,657.36,,,
1971,17.18,10.6,4.05,,-1.13,28.38,49.46,23.3,55.75,0.08,Toshkent_viloyat,570.44,,,
1972,13.85,7.93,2.02,,0.01,20.18,47.78,15.95,61.79,0.01,Toshkent_viloyat,823.05,,,
1973,16.33,10.02,3.73,,0.28,23.23,54.08,18.48,59.02,0.09,Toshkent_viloyat,634.37,,,
1974,15.1,9.1,3.12,,-1.27,19.63,41.42,11.16,58.49,0.08,Toshkent_viloyat,597.83,,,
1975,16.27,10.03,3.81,,-1.45,26.81,48.93,17.54,55.68,0.13,Toshkent_viloyat,549.19,,,
1976,15.36,9.5,3.67,,-0.65,31.42,67.26,29.89,61.5,0.1,Toshkent_viloyat,732.65,,,
1977,16.35,10.37,4.41,,-0.74,40.09,105.11,30.52,60.47,0.09,Toshkent_viloyat,749.83,,,
1978,16.02,10.05,4.12,,0.38,29.71,58.94,28.28,61.48,0.1,Toshkent_viloyat,840.33,,,
1979,16.28,10.3,4.34,,1.05,33.57,73.12,32.85,61.69,0.08,Toshkent_viloyat,787.08,,,
1980,16.4,10.39,4.4,,-0.36,25.96,53.72,18.62,61.07,0.09,Toshkent_viloyat,684.42,,,
1981,16.42,10.57,4.75,,0.19,26.46,59.92,17.74,63.61,0.04,Toshkent_viloyat,858.24,,,
1982,15.57,9.67,3.8,,-0.48,28.35,44.79,18.47,61.07,0.06,Toshkent_viloyat,623.46,,,
1983,17.1,10.87,4.66,,-0.77,24.22,42.74,15.13,58.86,0.13,Toshkent_viloyat,609.31,,,
1984,15.19,9.25,3.32,,-0.58,31.02,54.07,23.03,60.49,0.14,Toshkent_viloyat,699.97,,,
1985,16.11,10.01,3.94,,0.1,29.94,53.22,18.66,60.11,0.06,Toshkent_viloyat,712.83,,,
1986,16.38,10.32,4.29,,-1.1,25.03,61.47,23.41,59.96,0.08,Toshkent_viloyat,662.88,,,
1987,16.06,10.27,4.5,,0.93,37.33,78.08,31.1,64.84,0.06,Toshkent_viloyat,967.36,,,
1988,16.98,10.86,4.78,,0.47,18.32,46.81,13.23,61.02,0.11,Toshkent_viloyat,708.26,,,
1989,16.12,9.9,3.71,,-0.63,40.51,89.13,21.03,60.18,0.06,Toshkent_viloyat,706.47,,,
1990,16.66,10.64,4.65,,0.38,30.59,57.08,22.72,62.9,0.1,Toshkent_viloyat,761.78,,,
1991,16.09,10.19,4.31,,-0.19,29.99,86.33,21.06,63.19,0.05,Toshkent_viloyat,787.27,,,
1992,15.73,9.99,4.27,,0.73,31.28,61.69,24.68,65.03,0.03,Toshkent_viloyat,776.61,,,
1993,14.88,9.25,3.64,,1.04,31.16,104.63,27.18,66.91,0.04,Toshkent_viloyat,1070.28,,,
1994,15.92,9.92,3.95,,1.14,33.94,66.21,33.72,63.6,0.07,Toshkent_viloyat,831.22,,,
1995,17.36,10.97,4.61,,-0.27,27.04,43.84,16.59,60.42,0.07,Toshkent_viloyat,539.82,,,
1996,15.79,9.69,3.6,,-0.22,25.19,58.07,18.5,62.12,0.08,Toshkent_viloyat,763.17,,,
1997,17.14,10.95,4.8,,-0.22,23.83,44.94,20.55,63.17,0.13,Toshkent_viloyat,715.47,,,
1998,16.38,10.51,4.67,,0.92,34.2,79.44,26.38,64.54,0.08,Toshkent_viloyat,1042.24,,,
1999,17.09,11.13,5.19,,0.78,35.01,54.33,28.85,62.36,0.05,Toshkent_viloyat,874.88,,,
2000,17.07,11.03,5.03,,-0.52,23.32,48.7,11.27,59.41,0.08,Toshkent_viloyat,647.76,,,
2001,17.46,11.27,5.11,,-0.72,26.64,58.69,19.1,58.88,0.07,Toshkent_viloyat,709.08,,,
2002,17.19,11.12,5.09,,0.89,40.72,64.98,25.78,64.16,0.08,Toshkent_viloyat,942.83,,,
2003,16.16,10.5,4.88,,1.22,32.43,77.07,31.95,64.84,0.07,Toshkent_viloyat,988.89,,,
2004,17.45,11.58,5.74,,0.45,32.39,79.3,24.78,61.82,0.08,Toshkent_viloyat,828.72,,,
2005,17.14,11.18,5.25,,0.46,33.37,71.91,29.12,60.73,0.11,Toshkent_viloyat,745.98,,,
2006,17.16,11.16,5.19,,-0.62,27.26,67.58,24.0,61.53,0.1,Toshkent_viloyat,751.76,,,
2007,17.28,11.18,5.11,,-0.31,26.49,82.26,21.3,60.68,0.08,Toshkent_viloyat,722.8,,,
2008,16.65,10.66,4.68,,-1.31,32.79,63.23,19.23,60.62,0.15,Toshkent_viloyat,639.28,,,
2009,16.94,11.07,5.22,,0.27,30.05,54.12,24.34,61.75,0.05,Toshkent_viloyat,851.3,,,
2010,17.72,11.68,5.69,,0.89,25.04,68.69,24.39,62.52,0.08,Toshkent_viloyat,865.35,,,
2011,16.57,10.68,4.83,,-1.11,31.35,70.52,16.97,60.38,0.13,Toshkent_viloyat,752.85,,,
2012,16.44,10.38,4.34,,-0.06,23.86,52.57,15.21,59.81,0.09,Toshkent_viloyat,664.57,,,
2013,17.7,11.59,5.51,,-0.64,28.83,41.94,16.97,58.78,0.12,Toshkent_viloyat,683.03,,,
2014,16.64,10.28,3.94,,-0.3,24.22,72.01,21.3,58.19,0.12,Toshkent_viloyat,764.9,,,
2015,17.45,11.55,5.69,,-0.24,26.23,61.88,19.4,60.94,0.15,Toshkent_viloyat,833.42,,,
2016,18.12,11.91,5.75,,0.0,26.84,66.87,19.91,60.31,0.12,Toshkent_viloyat,837.51,,,
2017,17.47,11.13,4.83,,0.67,32.54,76.1,27.83,58.7,0.13,Toshkent_viloyat,785.69,,,
2018,17.51,11.16,4.86,,-0.81,27.88,63.21,22.95,58.05,0.15,Toshkent_viloyat,714.43,,,
2019,17.97,11.86,5.79,,-0.09,23.21,58.08,15.01,59.59,0.16,Toshkent_viloyat,716.44,,,
2020,16.92,10.81,4.72,,-0.69,25.02,60.33,20.52,58.49,0.07,Toshkent_viloyat,641.51,,,
2021,18.36,11.91,5.49,,-1.31,26.96,64.38,22.34,53.47,0.19,Toshkent_viloyat,608.53,,,
2022,17.79,12.15,6.55,,-0.57,34.44,97.93,25.15,58.95,0.16,Toshkent_viloyat,853.44,,,
2023,18.86,12.7,6.58,,-0.53,25.49,51.46,22.01,57.24,0.15,Toshkent_viloyat,691.29,,,
2024,17.62,11.82,6.03,,-0.01,33.88,61.75,24.25,62.75,0.09,Toshkent_viloyat,879.99,,,
1950,,,,,,9.53,21.5,3.08,48.93,0.05,Uzbekistan,178.2,16.45,11.08,5.3
1951,,,,,-0.19,11.35,23.4,4.46,50.79,0.06,Uzbekistan,225.46,17.12,11.86,6.13
1952,,,,,0.62,14.71,28.59,5.63,50.55,0.1,Uzbekistan,264.1,17.44,12.21,6.55
1953,,,,,0.47,14.28,29.66,6.89,53.43,0.06,Uzbekistan,327.42,17.58,12.55,7.06
1954,,,,,1.7,15.87,28.41,9.75,53.7,0.03,Uzbekistan,282.83,16.71,11.44,5.81
1955,,,,,-0.52,11.63,23.29,6.83,47.03,0.14,Uzbekistan,221.21,19.11,13.54,7.55
1956,,,,,0.29,12.27,25.19,7.54,49.72,0.1,Uzbekistan,239.3,17.61,12.25,6.5
1957,,,,,-0.08,10.11,19.93,3.65,51.53,0.03,Uzbekistan,240.18,17.18,11.89,6.0
1958,,,,,0.48,14.21,27.94,6.53,51.71,0.06,Uzbekistan,279.8,17.96,12.81,7.14
1959,,,,,0.8,12.87,25.99,5.17,54.36,0.04,Uzbekistan,241.5,16.69,11.58,6.1
1960,,,,,0.38,11.17,19.22,4.84,53.05,0.07,Uzbekistan,214.8,17.22,11.92,6.2
1961,,,,,-0.59,13.03,22.91,7.71,50.72,0.08,Uzbekistan,210.37,18.9,13.4,7.39
1962,,,,,-0.4,11.1,17.84,3.88,52.79,0.1,Uzbekistan,219.24,17.94,12.65,6.91
1963,,,,,0.04,12.06,22.92,4.95,53.46,0.04,Uzbekistan,270.22,18.62,13.38,7.67
1964,,,,,1.39,16.23,29.54,7.85,54.71,0.05,Uzbekistan,277.33,16.86,11.77,6.21
1965,,,,,0.22,12.18,18.89,5.45,52.79,0.07,Uzbekistan,227.82,18.18,12.99,7.38
1966,,,,,-0.61,14.06,23.06,5.12,50.29,0.11,Uzbekistan,200.91,18.96,13.4,7.39
1967,,,,,0.0,13.53,25.85,6.1,54.97,0.07,Uzbekistan,270.25,17.88,12.57,6.78
1968,,,,,0.01,11.43,21.68,3.43,53.01,0.08,Uzbekistan,247.95,17.83,12.39,6.45
1969,,,,,1.61,21.23,40.45,12.33,58.54,0.06,Uzbekistan,399.28,15.81,10.8,5.27
1970,,,,,0.36,11.2,19.35,3.85,52.85,0.06,Uzbekistan,216.56,18.24,12.71,6.79
1971,,,,,-0.7,9.7,17.47,2.81,51.49,0.07,Uzbekistan,181.01,18.99,13.37,7.27
1972,,,,,0.11,11.34,21.1,4.18,54.01,0.03,Uzbekistan,259.06,16.37,10.97,4.87
1973,,,,,0.5,12.68,22.98,6.15,54.91,0.1,Uzbekistan,255.08,18.05,12.74,6.97
1974,,,,,-0.11,13.38,22.74,3.61,51.49,0.07,Uzbekistan,199.26,17.19,11.68,5.71
1975,,,,,-0.83,12.1,20.47,3.91,49.84,0.14,Uzbekistan,190.89,18.5,12.97,6.94
1976,,,,,-0.05,13.94,27.47,6.82,55.65,0.1,Uzbekistan,259.77,16.75,11.62,6.08
1977,,,,,-0.3,12.78,25.1,4.02,54.9,0.1,Uzbekistan,229.26,18.02,12.83,7.05
1978,,,,,0.85,14.0,23.34,7.75,56.66,0.09,Uzbekistan,311.04,17.46,12.42,6.92
1979,,,,,0.92,14.84,27.14,9.12,54.66,0.11,Uzbekistan,269.12,18.51,13.22,7.46
1980,,,,,0.23,12.43,19.98,5.49,56.91,0.1,Uzbekistan,272.03,17.7,12.64,7.02
1981,,,,,1.21,17.64,32.81,7.62,57.97,0.06,Uzbekistan,332.63,18.19,13.17,7.81
1982,,,,,0.4,10.93,17.85,5.68,56.34,0.05,Uzbekistan,232.31,17.28,12.07,6.47
1983,,,,,-0.02,10.87,19.15,3.51,54.27,0.16,Uzbekistan,225.35,19.16,13.8,8.12
1984,,,,,-0.01,14.35,25.33,9.93,53.72,0.17,Uzbekistan,237.04,16.77,11.49,5.79
1985,,,,,0.14,12.13,22.58,5.49,54.02,0.1,Uzbekistan,243.14,18.04,12.67,6.87
1986,,,,,-0.67,11.57,24.35,3.39,52.63,0.09,Uzbekistan,217.0,18.23,12.84,7.05
1987,,,,,0.74,13.27,28.35,6.38,56.17,0.09,Uzbekistan,295.35,17.65,12.51,7.02
1988,,,,,0.65,12.74,24.67,7.0,55.89,0.1,Uzbekistan,282.91,18.45,13.23,7.59
1989,,,,,0.13,15.31,27.21,7.33,54.2,0.08,Uzbekistan,230.06,18.1,12.76,6.97
1990,,,,,-0.12,10.66,21.29,4.33,55.52,0.1,Uzbekistan,259.14,18.54,13.32,7.66
1991,,,,,0.41,15.84,31.83,8.67,56.11,0.07,Uzbekistan,294.02,17.91,12.76,7.11
1992,,,,,0.98,14.1,25.4,5.14,57.26,0.05,Uzbekistan,286.84,17.46,12.41,6.88
1993,,,,,0.96,14.46,27.26,7.29,57.35,0.07,Uzbekistan,314.92,16.53,11.58,6.0
1994,,,,,0.87,13.99,23.22,7.62,56.43,0.06,Uzbekistan,261.32,17.57,12.36,6.63
1995,,,,,-0.26,9.94,18.28,3.74,52.44,0.11,Uzbekistan,189.24,19.25,13.65,7.61
1996,,,,,-0.66,13.31,23.42,7.35,51.52,0.09,Uzbekistan,194.05,17.74,12.08,5.89
1997,,,,,-0.34,13.99,28.94,5.92,53.24,0.13,Uzbekistan,269.2,19.22,13.67,7.6
1998,,,,,0.53,15.35,28.69,8.39,55.04,0.12,Uzbekistan,321.09,18.29,13.03,7.24
1999,,,,,-0.57,11.54,17.99,3.52,53.5,0.11,Uzbekistan,254.98,19.16,13.69,7.61
2000,,,,,-1.18,9.0,13.45,1.6,52.98,0.11,Uzbekistan,184.18,19.12,13.62,7.52
2001,,,,,-1.4,12.1,17.46,4.33,52.17,0.09,Uzbekistan,196.73,19.24,13.79,7.62
2002,,,,,0.31,20.42,35.87,9.54,55.3,0.14,Uzbekistan,325.12,19.04,13.62,7.68
2003,,,,,1.02,16.0,26.99,7.65,57.61,0.09,Uzbekistan,355.54,18.02,12.87,7.3
2004,,,,,-0.03,14.31,27.81,8.29,53.75,0.09,Uzbekistan,274.2,19.71,14.25,8.23
2005,,,,,-0.36,13.5,28.84,7.63,52.6,0.16,Uzbekistan,246.54,19.47,13.99,7.97
2006,,,,,-1.17,11.77,18.14,4.1,52.64,0.14,Uzbekistan,230.64,19.11,13.62,7.44
2007,,,,,-1.06,12.2,28.91,3.83,52.17,0.12,Uzbekistan,228.28,19.56,13.89,7.64
2008,,,,,-1.81,8.06,13.42,2.56,52.01,0.17,Uzbekistan,181.95,18.97,13.19,6.79
2009,,,,,-0.65,12.85,21.55,4.85,54.5,0.07,Uzbekistan,285.68,18.97,13.59,7.57
2010,,,,,-0.58,12.19,21.95,4.3,51.15,0.18,Uzbekistan,223.86,20.04,14.24,7.97
2011,,,,,-1.92,12.23,23.99,5.94,51.08,0.18,Uzbekistan,222.85,18.55,13.06,6.87
2012,,,,,-0.81,14.25,24.74,4.81,50.03,0.16,Uzbekistan,220.57,18.8,13.14,6.88
2013,,,,,-1.37,11.96,22.79,6.5,50.92,0.1,Uzbekistan,229.02,19.93,14.38,8.24
2014,,,,,-1.04,12.46,21.62,4.0,50.5,0.18,Uzbekistan,227.03,18.37,12.69,6.32
2015,,,,,-0.64,12.91,27.47,7.71,53.05,0.21,Uzbekistan,292.64,19.3,14.08,8.19
2016,,,,,-0.4,11.57,22.45,5.13,53.23,0.11,Uzbekistan,280.68,19.87,14.52,8.75
2017,,,,,-0.27,11.75,26.05,4.96,50.88,0.18,Uzbekistan,229.94,19.22,13.74,7.67
2018,,,,,-1.31,16.07,24.27,7.08,49.56,0.18,Uzbekistan,215.86,19.02,13.48,7.25
2019,,,,,-0.6,12.95,24.58,4.97,51.44,0.2,Uzbekistan,260.69,19.93,14.49,8.5
2020,,,,,-1.33,14.43,27.54,8.26,50.09,0.16,Uzbekistan,220.77,19.04,13.44,7.12
2021,,,,,-2.05,13.32,25.61,4.22,46.49,0.27,Uzbekistan,162.8,20.42,14.48,7.84
2022,,,,,-1.7,10.56,25.83,5.59,51.71,0.18,Uzbekistan,239.9,19.81,14.39,8.37
2023,,,,,-2.01,9.99,19.99,5.12,48.1,0.2,Uzbekistan,190.86,21.07,15.28,8.9
2024,,,,,-1.19,14.95,23.69,9.38,52.15,0.14,Uzbekistan,269.62,19.65,14.35,8.46
1901,20.67,13.85,7.07,90.43,,,,,,,Xorazm,,,,
1902,20.88,14.19,7.52,118.39,,,,,,,Xorazm,,,,
1903,19.6,12.89,6.22,77.48,,,,,,,Xorazm,,,,
1904,19.67,13.21,6.78,77.03,,,,,,,Xorazm,,,,
1905,19.62,13.18,6.77,115.82,,,,,,,Xorazm,,,,
1906,20.11,13.61,7.14,117.43,,,,,,,Xorazm,,,,
1907,19.34,12.87,6.43,94.63,,,,,,,Xorazm,,,,
